latitude,longitude,depth,mag,time
65.2943,-162.9795,5,1.3,1668798754107
37.0206,-116.1141,9.7,-0.3,1668798470910
61.3283,-148.9884,26,1.5,1668798285702
66.36,-157.3189,7.9,1.2,1668798185964
31.64230543,-104.0188587,6.632873535,2.8,1668797919338
51.8625,-178.000166666667,2.29,1.11,1668797627280
38.2018333,-112.7091667,2.19,1.37,1668797463570
51.8526666666667,-177.988833333333,2.88,1.49,1668797295970
53.8751666666667,-166.843166666667,5.17,-0.35,1668796784050
59.805,-151.8869,58.3,1.4,1668796771482
19.2481670379639,-155.321670532227,27.4899997711182,1.80999994,1668796642600
38.8216667,-122.7655029,2.03,0.67,1668796545600
38.8243332,-122.8523331,2.47,0.79,1668796459500
36.1156666666667,-89.4056666666667,8.57,1.17,1668796325320
66.3844,-157.2927,7.1,1.2,1668796269852
-5.3186,146.5926,179.322,4,1668796189430
66.3383,-157.3213,6.5,2.2,1668796081602
39.1378,-120.0174,9.9,0.4,1668795984148
66.3873,-157.6287,8.5,1.3,1668795804851
59.3448,-151.891,49.9,1.8,1668795802841
33.9308333,-116.8455,7.98,0.88,1668795656150
35.292,-97.97916667,5.58,1.78,1668795633079
31.64347719,-104.0124068,7.069909668,2,1668795427409
62.3503,-151.4524,81.1,2.2,1668795404075
38.7983322,-122.7850037,3.09,0.74,1668795395310
31.63751104,-104.0099564,5.116101074,2.1,1668795384547
31.60964963,-103.9927423,9.679272461,1.9,1668795343243
38.8143349,-122.8290024,1.69,0.36,1668795143130
53.8979,-163.4995,13.5,2,1668794981127
53.9108,-35.3308,10,4.5,1668794905006
51.86,-177.997833333333,4.25,1.16,1668794900160
51.8596666666667,-177.995833333333,4.32,1.29,1668794305890
51.86,-177.999,3.25,1.38,1668794013780
51.8588333333333,-177.991666666667,3.45,1.45,1668793945560
51.8571666666667,-177.996666666667,-1.77,1.16,1668793672910
37.3583333,-121.7206667,7.02,0.82,1668793671790
51.8575,-177.989833333333,-1.78,1.23,1668793664850
17.9815,-66.9023333333333,14.31,2.07,1668793344760
59.8431,-152.2085,75.6,1.7,1668793303042
51.8568333333333,-177.9845,1.94,1.16,1668793149500
51.8568333333333,-177.985666666667,2.69,1.5,1668793066630
51.8631666666667,-178.0175,3.61,1.23,1668793003220
19.1386661529541,-155.423828125,32.5099983215332,1.79999995,1668792475580
62.3228,-150.2162,6.8,1.2,1668792470377
23.4502,102.2291,15.566,4.9,1668792457265
38.7879982,-122.7278366,1.96,0.86,1668792429200
53.4525,-167.4529,25.5,1.5,1668792085192
66.3728,-157.3082,8.9,1.1,1668792075003
51.8728,-178.0278,6.835,2.7,1668792067107
51.8585,-177.996,-1.8,1.07,1668791961870
51.8591666666667,-178.001833333333,-1.8,1.28,1668791937340
34.3465,26.6162,10,4.3,1668791670514
39.3622,-120.1607,8.4,0.2,1668791652571
-53.6238,-133.9086,10,4.9,1668791546026
51.8488333333333,-177.990333333333,2.62,1.47,1668791270220
51.8601666666667,-178.000333333333,3.05,1.3,1668790622980
51.8606666666667,-177.9965,2.57,1.28,1668790579960
51.8601666666667,-178.003666666667,3.19,1.31,1668790476630
37.5043333,-119.3925,17.68,1.43,1668790473020
51.8116666666667,-178.061666666667,3.3,1.53,1668790401870
51.8591666666667,-178.0055,2.61,1.65,1668790353710
51.8532,-177.9854,4.4,2.4,1668790320652
51.8785,-177.9825,10,3.2,1668790281594
19.2196674346924,-155.36116027832,34.3699989318848,1.86000001,1668790154100
33.3941667,-116.3526667,5.05,0.73,1668789913580
64.3922,-147.3834,7.7,2,1668789748404
31.5307616,-104.0125332,1.118505859,2,1668789677857
17.9311666666667,-66.8828333333333,14.08,2.34,1668789511800
38.8273315,-122.8539963,2.25,0.37,1668789444270
38.7801666,-122.7233353,1.8,0.59,1668789332020
35.6491667,-117.4446667,6.08,1.46,1668789294470
60.9282,-152.4402,117.7,1.6,1668789230183
51.8588333333333,-177.999833333333,3.26,1.27,1668789068210
37.2756667,-121.645,8.89,1.36,1668788845370
37.2758333,-121.6416667,9.05,0.96,1668788798260
33.2193333,-116.7473333,11.61,0.83,1668788727140
-4.8526,100.5733,10,4.4,1668788571069
51.8593333333333,-177.999,3.21,1.26,1668788091710
31.61111067,-103.9674653,8.136791992,1.6,1668787736929
51.8503333333333,-177.816833333333,1.55,0.85,1668787497120
38.8461685,-122.8150024,1.44,0.37,1668787342780
38.8441667,-122.836,2.32,0.43,1668787288370
64.4836,-147.2623,3.2,0.6,1668787239480
38.840332,-122.8330002,1.79,0.65,1668787089490
33.9718333,-116.8735,19.54,0.93,1668787084340
38.8468333,-122.8138333,1.72,0.74,1668787083160
37.1398333,-121.519,7.08,0.82,1668787058660
31.62382497,-103.9797609,6.350085449,1.7,1668786600802
18.4101666666667,-67.5241666666667,12.84,2.88,1668786508010
31.63504039,-103.9932636,7.069909668,2,1668786231987
43.3741,-126.5792,10,4.4,1668786165388
60.1881,-152.7499,96.3,1.4,1668786105560
32.08512183,-103.6159313,5.925903319999999,2,1668785379150
31.62531819,-103.9799022,7.10847168,1.6,1668785228112
63.5221,-150.9697,8.4,0.9,1668785217337
56.8919,-158.1796,5.6,2.9,1668784869143
38.8258333,-122.8065,2.3,0.41,1668784767290
65.4986,-148.4785,6.3,1.4,1668784576838
31.51986535,-104.0390832,2.429614258,2.2,1668784271901
39.2572,-120.1606,10.5,-0.1,1668783718272
60.3059,-152.7259,100.3,2.3,1668783230799
62.1358,-150.77,70.3,3.6,1668782431218
31.63477957,-104.00241,7.584069824,1.8,1668782417809
38.8351669,-122.8101654,1.7,1.15,1668782108290
61.3339,-151.841,82.6,1.3,1668781348706
60.5528,-149.1732,15,0.8,1668781226655
61.0177,-152.3494,9.2,1,1668781136773
33.2453333,-116.0926667,9.72,1.58,1668780763840
-4.6015,100.5808,10,5.4,1668780420628
-14.9416,-173.8604,51.134,4.3,1668780202945
-4.5305,100.5796,10,4.6,1668779944743
-8.9534,158.0802,10,4.2,1668779587858
53.395,-168.282166666667,-1,1.19,1668779506590
19.1491661071777,-155.386840820312,28.6900005340576,2.0999999,1668779425650
61.3814,-150.2132,31.1,1.7,1668779336344
35.9216667,-117.6978333,4.23,1.18,1668779169520
35.923,-117.6986667,2.9,1.75,1668779086830
61.0358,-151.6415,73.8,1.7,1668779050803
38.8313332,-122.8166656,1.85,0.88,1668778985690
44.729,-111.0221667,7.86,0.41,1668778811180
61.3629,-150.194,41.4,1.6,1668778637196
-4.9043,100.7862,25,6.9,1668778628687
62.5956,-149.0515,12.3,0.8,1668778539014
19.1561666666667,-155.509333333333,35.94,2.67,1668778409030
59.7405,-153.1552,103,1.6,1668778184958
38.8241653,-122.8030014,2.54,0.87,1668777974170
33.2155,-116.7458333,11.09,0.44,1668777935320
29.6398,101.9865,10,4.6,1668777837273
58.1678333333333,-155.343666666667,-0.17,-0.12,1668777443610
58.2876666666667,-155.001,3.05,0.21,1668777372410
51.9818,-173.4798,41.5,2.2,1668776988488
38.8665009,-122.8061676,0.77,0.87,1668776624220
-6.1958,146.4916,88.381,4.1,1668776559791
61.3162,-151.235,62.1,1.6,1668776462281
34.3266667,-116.9245,5.74,1.34,1668776115950
38.6591667,-119.7711667,0.94,2.05,1668775649920
35.6781667,-117.5213333,10.82,0.98,1668775263430
61.3963,-150.217,32.3,1.2,1668774980803
60.1443,-152.5534,102.6,1.6,1668774593604
61.8836,-149.6228,39.2,0.9,1668774378272
41.5121667,-112.8458333,5.73,1.16,1668773482790
52.7861,-168.3108,64.9,2,1668773284487
19.3740005493164,-155.030334472656,7.09999990463257,1.94,1668773163070
57.7556,-157.3296,14.9,2.7,1668773140524
-13.1777,166.6341,35,4.6,1668773004498
38.8371658,-122.7701645,1.23,1.15,1668772889890
31.51058584,-104.0621429,6.388647461,2.2,1668772856917
32.7555,-115.8298333,8.5,1.3,1668772744860
36.767,-121.2796667,9.44,1.27,1668772062700
60.0589,-151.0646,53,1.3,1668772033004
37.1397,-116.2913,6,-0.4,1668771947969
41.3281,83.8917,10,4.3,1668771857467
-22.0518,170.2488,10,5,1668771688823
63.5342,-147.3239,3.5,1.5,1668771671044
17.9875,-66.9745,13.65,2.23,1668771670880
19.1604995727539,-155.484161376953,32.8800010681152,2.01999998,1668770826840
63.3678,-145.1163,4.1,1.5,1668770746607
51.852,-177.979666666667,1.76,1.03,1668770721400
31.61012,-103.9895168,10.09060059,1.9,1668770345817
13.0601,124.2353,83.947,4.3,1668770203946
40.1502,-119.1684,16.2,1.1,1668770191033
37.2878333333333,-89.4428333333333,16.7,2.04,1668770014000
61.3946,-149.8215,19.4,1.1,1668769730454
51.8523333333333,-177.982666666667,2.38,1.02,1668769552680
51.8605,-177.999166666667,1.42,1.21,1668769494070
